date,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,2,3,4,5,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,percent_20,percent_30,percent_40,percent_50,hap,avg,grade,
2017-11-11,275,150,109,74,60,56,50,47,47,45,16,10,8,6,35.62,19.43,14.12,9.59,7.77,7.25,6.48,6.09,6.09,5.83,2.07,1.3,1.04,0.78,759.48052,0.9850590402,2,[2]
2017-11-12,493,322,239,189,161,140,130,113,105,97,42,28,21,16,63.86,41.71,30.96,24.48,20.85,18.13,16.84,14.64,13.6,12.56,5.44,3.63,2.72,2.07,1123.727324,1.4574932866,4,[4]
2017-11-15,580,444,371,311,274,239,209,178,150,133,35,22,18,14,75.13,57.51,48.06,40.28,35.49,30.96,27.07,23.06,19.43,17.23,4.53,2.85,2.33,1.81,637.8751,0.8273347601,4,[4]
2017-11-16,258,131,105,89,79,72,66,60,56,52,20,16,10,9,33.42,16.97,13.6,11.53,10.23,9.33,8.55,7.77,7.25,6.74,2.59,2.07,1.3,1.17,2243.98712,2.910489131,2,[2]
2017-11-29,483,393,298,253,203,177,154,130,121,110,16,9,6,4,62.56,50.91,38.6,32.77,26.3,22.93,19.95,16.84,15.67,14.25,2.07,1.17,0.78,0.52,601.3538,0.7799660182,4,[4]
2017-12-13,326,154,107,86,80,70,64,60,55,50,19,14,14,10,42.23,19.95,13.86,11.14,10.36,9.07,8.29,7.77,7.12,6.48,2.46,1.81,1.81,1.3,944.97642,1.2256503502,3,[2]
2017-12-27,325,170,125,98,82,73,67,59,55,52,22,21,17,13,42.1,22.02,16.19,12.69,10.62,9.46,8.68,7.64,7.12,6.74,2.85,2.72,2.2,1.68,1870.14788,2.4256133333,3,[2]
2017-12-28,504,362,264,215,168,140,122,103,86,80,15,6,4,4,65.28,46.89,34.2,27.85,21.76,18.13,15.8,13.34,11.14,10.36,1.94,0.78,0.52,0.52,381.64269,0.4949970039,3,[3]
2018-01-03,404,247,201,155,125,106,87,82,74,65,23,16,14,11,52.33,31.99,26.04,20.08,16.19,13.73,11.27,10.62,9.59,8.42,2.98,2.07,1.81,1.42,742.53916,0.9630858106,3,[3]
2018-01-05,545,386,297,243,215,193,173,158,150,142,45,36,31,28,70.6,50,38.47,31.48,27.85,25,22.41,20.47,19.43,18.39,5.83,4.66,4.02,3.63,8875.4941,11.5116654994,4,[4]
