date,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,2,3,4,5,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,percent_20,percent_30,percent_40,percent_50,hap(y2-y1),hap(raw),avg,grade
2017-09-28,224,138,103,80,63,52,39,38,34,31,7,6,5,4,29.02,17.88,13.34,10.36,8.16,6.74,5.05,4.92,4.4,4.02,0.91,0.78,0.65,0.52,164.54064000000002,16150.119600000013,0.2134119844357977,1
2017-10-08,475,338,276,242,212,178,164,147,130,125,42,27,17,13,61.53,43.78,35.75,31.35,27.46,23.06,21.24,19.04,16.84,16.19,5.44,3.5,2.2,1.68,567.4379,17989.620199999994,0.735976523994812,4
2017-10-09,496,378,317,280,256,236,214,197,183,170,55,46,28,19,64.25,48.96,41.06,36.27,33.16,30.57,27.72,25.52,23.7,22.02,7.12,5.96,3.63,2.46,697.4786000000004,16942.8582,0.9046415045395595,4
2017-10-14,468,349,287,245,196,178,151,135,124,114,24,15,10,8,60.62,45.21,37.18,31.74,25.39,23.06,19.56,17.49,16.06,14.77,3.11,1.94,1.3,1.04,1132.2360599999997,16684.866799999985,1.4685292607003888,4
2017-10-19,613,476,400,355,295,258,220,192,174,161,45,28,17,11,79.4,61.66,51.81,45.98,38.21,33.42,28.5,24.87,22.54,20.85,5.83,3.63,2.2,1.42,4707.262140000001,14115.09115,6.105398365758756,4
2017-10-21,253,103,73,56,49,44,36,34,28,25,14,12,9,8,32.77,13.34,9.46,7.25,6.35,5.7,4.66,4.4,3.63,3.24,1.81,1.55,1.17,1.04,937.4776400000001,14949.507643999987,1.2159243060959792,2
2017-10-24,421,306,236,197,158,135,115,105,98,87,21,13,10,9,54.53,39.64,30.57,25.52,20.47,17.49,14.9,13.6,12.69,11.27,2.72,1.68,1.3,1.17,5235.97718,18400.707160000024,6.791150687418936,4
2017-10-30,257,121,97,69,56,50,43,42,41,39,16,9,8,7,33.29,15.67,12.56,8.94,7.25,6.48,5.57,5.44,5.31,5.05,2.07,1.17,1.04,0.91,458.16344000000004,14292.98824000001,0.5942457068741894,2
2017-10-31,356,175,124,100,86,75,65,60,58,53,18,17,12,11,46.11,22.67,16.06,12.95,11.14,9.72,8.42,7.77,7.51,6.87,2.33,2.2,1.55,1.42,597.1112660000007,14400.779137000003,0.7744633800259412,3
2017-11-11,275,150,109,74,60,56,50,47,47,45,16,10,8,6,35.62,19.43,14.12,9.59,7.77,7.25,6.48,6.09,6.09,5.83,2.07,1.3,1.04,0.78,759.48052,14296.321809999996,0.9850590402075227,2
2017-11-12,493,322,239,189,161,140,130,113,105,97,42,28,21,16,63.86,41.71,30.96,24.48,20.85,18.13,16.84,14.64,13.6,12.56,5.44,3.63,2.72,2.07,1123.7273240000004,14037.422034000012,1.4574932866407269,4
2017-11-15,580,444,371,311,274,239,209,178,150,133,35,22,18,14,75.13,57.51,48.06,40.28,35.49,30.96,27.07,23.06,19.43,17.23,4.53,2.85,2.33,1.81,637.875100000001,16733.03595000001,0.827334760051882,4
2017-11-16,258,131,105,89,79,72,66,60,56,52,20,16,10,9,33.42,16.97,13.6,11.53,10.23,9.33,8.55,7.77,7.25,6.74,2.59,2.07,1.3,1.17,2243.987120000002,13347.782699999982,2.9104891309987058,2
2017-12-13,326,154,107,86,80,70,64,60,55,50,19,14,14,10,42.23,19.95,13.86,11.14,10.36,9.07,8.29,7.77,7.12,6.48,2.46,1.81,1.81,1.3,944.9764200000004,14345.568379999988,1.225650350194553,3
2017-12-27,325,170,125,98,82,73,67,59,55,52,22,21,17,13,42.1,22.02,16.19,12.69,10.62,9.46,8.68,7.64,7.12,6.74,2.85,2.72,2.2,1.68,1870.1478799999998,15449.792030000002,2.425613333333333,3
2017-12-28,504,362,264,215,168,140,122,103,86,80,15,6,4,4,65.28,46.89,34.2,27.85,21.76,18.13,15.8,13.34,11.14,10.36,1.94,0.78,0.52,0.52,381.6426899999997,15301.602879999997,0.49499700389105017,4
2018-01-03,404,247,201,155,125,106,87,82,74,65,23,16,14,11,52.33,31.99,26.04,20.08,16.19,13.73,11.27,10.62,9.59,8.42,2.98,2.07,1.81,1.42,742.5391599999999,18134.65205999999,0.9630858106355381,3
