date,25,50,100,150,200,250,300,350,400,450,500,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_7,percent_8,percent_9,percent_10,percent_11,hap(y2-y1),hap(raw),avg,grade
2017-09-24,522,366,214,151,103,72,53,32,22,14,13,67.62,47.41,27.72,19.56,13.34,9.33,6.87,4.15,2.85,1.81,1.68,73045.04999999997,5063474.380000004,94.7406614785992,4
2017-09-28,176,133,92,63,51,43,35,31,28,24,24,22.8,17.23,11.92,8.16,6.61,5.57,4.53,4.02,3.63,3.11,3.11,50879.77999999998,4360143.359999995,65.99193255512319,3
2017-10-08,432,323,251,198,164,139,124,117,103,91,84,55.96,41.84,32.51,25.65,21.24,18.01,16.06,15.16,13.34,11.79,10.88,163511.48999999993,4955660.359999994,212.07715953307385,4
2017-10-09,450,358,283,227,195,171,153,139,132,120,112,58.29,46.37,36.66,29.4,25.26,22.15,19.82,18.01,17.1,15.54,14.51,150270.8800000001,4453684.800000003,194.90386511024656,4
2017-10-14,416,323,231,174,134,97,75,59,42,36,28,53.89,41.84,29.92,22.54,17.36,12.56,9.72,7.64,5.44,4.66,3.63,80836.36999999991,4491325.240000002,104.84613488975344,4
2017-10-19,567,450,328,227,176,135,102,89,76,66,59,73.45,58.29,42.49,29.4,22.8,17.49,13.21,11.53,9.84,8.55,7.64,116204.59,4357587.289999997,150.71931258106355,4
2017-10-21,172,124,89,71,63,49,40,35,32,25,22,22.28,16.06,11.53,9.2,8.16,6.35,5.18,4.53,4.15,3.24,2.85,87186.50000000003,4323356.920000004,113.08236057068746,3
2017-10-24,368,289,201,140,108,88,70,57,45,34,30,47.67,37.44,26.04,18.13,13.99,11.4,9.07,7.38,5.83,4.4,3.89,80109.84,4313649.21,103.90381322957198,4
2017-10-30,194,108,71,60,51,44,41,38,37,36,34,25.13,13.99,9.2,7.77,6.61,5.7,5.31,4.92,4.79,4.66,4.4,148398.66000000003,4079497.7799999965,192.47556420233468,1
2017-10-31,240,153,97,70,59,43,34,28,25,17,12,31.09,19.82,12.56,9.07,7.64,5.57,4.4,3.63,3.24,2.2,1.55,52799.35999999998,3957713.990000002,68.48166018158233,3
2017-11-11,219,162,112,84,72,60,52,48,43,40,35,28.37,20.98,14.51,10.88,9.33,7.77,6.74,6.22,5.57,5.18,4.53,80215.20999999999,4071723.4300000006,104.04047989623864,2
